ClimateID,WeatherID,jday,date,hour,srad,wind,RH,rain,tmax,tmin,temperature,CO2
Ashland,AshIrr,1,1/1/2005,1,0,10,67.605,0,,,6.111111111,
Ashland,AshDry,1,1/1/2005,1,0,10,67.605,0,,,6.111111111,
Ashland,AshIrr,1,1/1/2005,2,0,9,68.467,0,,,6.111111111,
Ashland,AshDry,1,1/1/2005,2,0,9,68.467,0,,,6.111111111,
Ashland,AshIrr,1,1/1/2005,3,0,9,70.085,0,,,7.222222222,
Ashland,AshDry,1,1/1/2005,3,0,9,70.085,0,,,7.222222222,
Ashland,AshIrr,1,1/1/2005,4,0,11,72.242,0,,,7.222222222,
Ashland,AshDry,1,1/1/2005,4,0,11,72.242,0,,,7.222222222,
Ashland,AshIrr,1,1/1/2005,5,0,8,75.348,0,,,7.222222222,
Ashland,AshDry,1,1/1/2005,5,0,8,75.348,0,,,7.222222222,
Ashland,AshIrr,1,1/1/2005,6,0,9,77.338,0,,,7.777777778,
Ashland,AshDry,1,1/1/2005,6,0,9,77.338,0,,,7.777777778,
Ashland,AshIrr,1,1/1/2005,7,0,8,84.328,0,,,7.777777778,
Ashland,AshDry,1,1/1/2005,7,0,8,84.328,0,,,7.777777778,
Ashland,AshIrr,1,1/1/2005,8,0.007,9,87.741,0,,,8.888888889,
Ashland,AshDry,1,1/1/2005,8,0.007,9,87.741,0,,,8.888888889,
Ashland,AshIrr,1,1/1/2005,9,0.113,6,88.927,0,,,8.888888889,
Ashland,AshDry,1,1/1/2005,9,0.113,6,88.927,0,,,8.888888889,
Ashland,AshIrr,1,1/1/2005,10,0.17,7,89.267,0,,,11.11111111,
Ashland,AshDry,1,1/1/2005,10,0.17,7,89.267,0,,,11.11111111,
Ashland,AshIrr,1,1/1/2005,11,0.18,18,88.925,0,,,17.22222222,
Ashland,AshDry,1,1/1/2005,11,0.18,18,88.925,0,,,17.22222222,
Ashland,AshIrr,1,1/1/2005,12,0.266,18,88.709,0,,,17.77777778,
Ashland,AshDry,1,1/1/2005,12,0.266,18,88.709,0,,,17.77777778,
Ashland,AshIrr,1,1/1/2005,13,0.51,24,84.222,0,,,18.88888889,
Ashland,AshDry,1,1/1/2005,13,0.51,24,84.222,0,,,18.88888889,
Ashland,AshIrr,1,1/1/2005,14,0.329,23,84.789,0,,,18.88888889,
Ashland,AshDry,1,1/1/2005,14,0.329,23,84.789,0,,,18.88888889,
